X,Y,osm_id,osm_type,completeness,is_in_health_zone,amenity,speciality,addr_street,operator,water_source,changeset_id,insurance,staff_doctors,contact_number,uuid,electricity,opening_hours,operational_status,source,is_in_health_area,hidden,changeset_version,emergency,changeset_timestamp,addr_housenumber,addr_postcode,health_amenity_type,addr_city,name,staff_nurses,changeset_user,wheelchair,beds,url,dispensing,healthcare,operator_type,tag
36.8547132284047,-1.26366330755846,7952200603,node,15,,hospital,,,,,91659564,,,,ff397848b75246c9be7b5f8edbf31f19,,,operational,,,0,1,,2020/09/28 17:45:03,,,,,Muradi Medical Centre,,Peter Agenga,,,,,,private,
,,792829425,way,24,,hospital,,,,,83691885,,,0712192524,acefca330fb447fab4eb97d70f12d530,,Mo-Fr 08:30-20:00,operational,,,0,1,,2020/04/17 08:23:57,,,,,Mrima Cathilic Dispensary,,_aahu_,,,,,hospital,ministry_of_health,
36.7977923945057,-1.31192672512674,612008488,node,21,,clinic,,,,,50374122,,,0720853342,2e5368638c524282b76fed4b7ef48763,,24/7,operational,,,0,7,,2017/07/18 09:40:05,,,,,St Mac's Clinic,,Phylister,,,,,,ngo_cbo,
36.7820662677715,-1.31438103019497,2456557487,node,9,,pharmacy,,,,,17813195,,,,a7076ef9abbf49c2b203de19dd49aed2,,,,,,0,1,,2013/09/13 08:26:13,,,,,,,millicentoo,,,,yes,,,
36.8346497182354,-1.31581173724766,1453526846,node,9,,hospital,,,,,9457550,,,,8f2bba35ad5241e38f76536d392fc1d1,,,,,,0,1,,2011/10/03 07:57:43,,,,,Meridian Medical Centre,,Deedz,,,,,,,
40.9025631806705,-2.27105834990235,612932019,node,9,,pharmacy,,,,,3609705,,,,4971bec645ce4e4b8cfc238c3434f308,,,,,,0,1,,2010/01/13 12:54:14,,,,,Ibnusina,,Ed Avis,,,,,,,
36.82315418949,-1.28513673766062,5555072714,node,21,,pharmacy,,Kaunda Street,,,63081405,,,,0a84958a5ffc4b08919d81fdd1c97939,,,,,,0,2,,2018/10/01 04:34:18,,,,Nairobi,Malibu Pharmacy Ltd,,Humus015,,,,yes,pharmacy,,
,,691508967,way,9,,hospital,,,,,74636051,,,,515c44925a8648979b700c1f8ee5d38b,,,,,,0,2,,2019/09/18 16:26:17,,,,,,,Miscuit,,,,,hospital,,
36.8705999524037,-1.31073004081065,8894604386,node,12,,pharmacy,,,,,107429931,,,,624eab18d949469699618b680ff890c4,,,,,,0,1,,2021/07/05 09:39:09,,,,,St. Joans Medical Center,,GY_OSM,,,,,pharmacy,,
,,798331032,way,12,,hospital,,,,,84407491,,,,44f82776e4b148fc9ecd9c1e88644209,,,,,,0,1,,2020/04/30 11:05:47,,,,,African Inland Church Zombe Mission Hospital,,_aahu_,,,,,hospital,,
35.2763792355218,0.51623559153694,7115187485,node,12,,dentist,,,,,110621365,,,,5fcf2d6763814221a33f2d3247abac53,,,,,,0,2,,2021/09/02 13:46:37,,,,,Aquadent,,DingoKG,,,,,dentist,,
36.8350477748171,-1.3168213374849,2145336812,node,15,,pharmacy,,Mombasa Road,,,66298166,,,,7d1767110b4b434b94089e367925ba49,,,,,,0,2,,2019/01/14 11:13:42,,,,Nairobi,Inkamed Pharmeceuticals,,DingoKG,,,,,,,
36.9056198791388,-1.26755167244067,6173489602,node,18,,hospital,,Kangaru Road,,,65896204,,,,67f071f29b6a4c53a2a907112449336c,,,,,,0,1,,2018/12/30 19:56:32,,,,Nairobi,Aga Khan Hospital,,DingoKG,,,,,hospital,,
36.7901494399159,-1.30877186059124,698592301,node,21,,pharmacy,,,,,14173527,,,,111e954d78d9429d93c356e2d1e1c6f7,,Mo-Fr 08:30-20:00,operational,,,0,3,,2012/12/06 11:04:57,,,,,Chemist,,muindre,,,,yes,,private,
,,462186087,way,27,,hospital,general,Gatundu-Juja Road,,,109629084,,,,f50a47d9ba6d4b6aa3a4886317171691,,,,,,0,3,yes,2021/08/13 12:34:36,"59,",,,Kiambu,St Jude Nursing Home,,Unja1234,,,,,hospital,,
,,798364261,way,18,,hospital,,Kabiria Road,,,84413851,,,,def72def57f149f3b2bd968d6b6b22af,,,,,,0,1,,2020/04/30 12:40:15,,,,Nairobi,"Riruta Health centre, Health dispensary",,_aahu_,,,,,hospital,,
36.7854906943131,-1.30974692738744,4967614274,node,15,,clinic,,,,,50372327,,,,5085d919018d46c8886d5e663b7005ed,,,operational,,,0,2,,2017/07/18 08:35:05,,,,,Al- Gadhir Medical Clinic,,Peter Agenga,,,,,,private,
39.6323543186923,-4.12815273320714,1491229610,node,18,,hospital,,,,,9737220,,,0723928459,9b2d14fb12ab404b9dee5baf775b3020,,,operational,,,0,1,,2011/11/04 10:13:15,,,,,Ngombeni Dispensary,,mchidz,,,,,,ministry_of_health,
40.1204003539779,-3.21512727558002,1315243451,node,6,,pharmacy,,,,,8371867,,,,26a1f5f24852403fa3eaf5aff14fe626,,,,,,0,1,,2011/06/07 16:55:55,,,,,,,WingedStone,,,,,,,
36.8689411737656,-1.2575886070525,2378763923,node,21,,pharmacy,,,,,19292003,,,,2f4133a94b294fc790681aabfa68afb0,,Mo-Fr 08:30-20:00,operational,,,0,2,,2013/12/05 16:14:01,,,,,HYPX MEDICARE/CHEMIST,,Manu1400,,,,yes,,private,
,,743673612,way,12,,clinic,,,,,76849220,,,,a57dd0a47ab84f86a137c8a550aff6e2,,,,,,0,1,,2019/11/09 17:05:15,,,,,Hungai Dispensary,,freyfogle,,,,,clinic,,
36.7717792418257,-1.30329621470509,5412285972,node,18,,pharmacy,,Ngong Road,,,56353356,,,,7906cf1c07d448eb8c7806a7b72d6306,,,,,,0,1,,2018/02/14 13:41:08,,,,Nairobi,"Harmony Court, Jamhuri",,DingoKG,,,,,pharmacy,,
36.7841912478641,-1.31475201322942,612009096,node,24,,pharmacy,,,,,14316683,,,0723226629,5f847ce00c4842e6bf68700ac92b2bc2,,08:00-20:00,operational,,,0,8,,2012/12/18 10:24:11,,,,,Mizima Chemist,,anekeya,,,,yes,,private,
36.8844285838974,-1.31850450746117,878846165,node,15,,pharmacy,,,,,9174388,,,,c6f256d53117438bbf99d6bf68dacc95,,24/7,,,,0,2,,2011/08/31 09:03:28,,,,,Kingori Medical Centre,,Daniel Otieno,,,,yes,,,
34.7660392656325,-0.089840967657722,8190820921,node,15,,hospital,,,,,95229926,,,,d4182e34e37e4cfab9c899947ee41c7d,,,operational,,,0,1,,2020/12/03 13:38:10,,,,,Tuungane Hospital,,Peter Agenga,,,,,,private,
36.7785695892246,-1.3121477559134,1691733175,node,24,,pharmacy,,,,,62793048,,,0710755812,463930e4f3d14b87b9e7470b53af7156,,07:30-20:30,operational,,,0,5,,2018/09/21 11:06:51,,,,,Capital Chemist,,cbeddow,,,,yes,,private,
36.8236577742327,-1.3205639410709,8415831218,node,24,,clinic,gynaecology,,,,109655038,,,,d654ac56e7c94f9a92425bf0a72ad408,,24/7,operational,,,0,2,,2021/08/14 04:37:31,,,,,Arawelo Medical Centre Limited,,NajibAdan,,15,,,hospital,,"Antenatal Care,"
36.8520264931615,-1.26449730692423,4500146286,node,15,,clinic,,,,,61359793,,,,2913bdc70ee94c28a66ee53e40331bf3,,,operational,,,0,2,,2018/08/04 18:41:20,,,,,Stahi Medical Clinic,,mueschel,,,,,,private,
,,583849554,way,18,,hospital,,Limuru Road,,,58463356,,,,1d72a3632be94118813ef5c2cf950f83,,,,,,0,1,,2018/04/27 04:16:29,,,,Kiambu,Getrudes Ruaka Clinic,,DingoKG,,,,,hospital,,
36.7534196887525,-1.28722668139793,8074036791,node,15,,pharmacy,,,,,93408841,,,,d7dd06157c3a4fb8a7604acbc589fa65,,,unknown,,,0,1,,2020/11/02 09:38:34,,,,,Clinic,,Peter Agenga,,,,,,unknown,
36.7765932202753,-1.31750831826901,7930813011,node,15,,clinic,,,,,91281159,,,,8e98c72b680243dcbea3218880a68ef6,,,operational,,,0,1,,2020/09/22 09:36:09,,,,,Beyond Zero,,Peter Agenga,,,,,,county_government,
